Nombre,Region
REPÚBLICA  LIBANESA,ASIA
REPÚBLICA  DE  MOZAMBIQUE,ÁFRICA  SUBSAHARIANA
MALASIA,ASIA
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,ASIA
REPÚBLICA  DE  POLONIA,EUROPA  CENTRAL  Y  ORIENTAL
SANTA  SEDE,EUROPA  OCCIDENTAL
REPÚBLICA  DE  AUSTRIA,EUROPA  OCCIDENTAL
REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL
REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR
República  de  Türkiye,EUROPA  OCCIDENTAL
ESTADO  DE  ISRAEL,ASIA
REPÚBLICA  DEL  PERÚ,AMÉRICA  DEL  SUR
REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL
AUSTRALIA,OCEANÍA
REPÚBLICA  ÁRABE  SIRIA,ASIA
REPÚBLICA  DE  AZERBAIYÁN,ASIA
REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA
BARBADOS,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  CHECA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  DE  COLOMBIA,AMÉRICA  DEL  SUR
REPÚBLICA  DE  CUBA,AMÉRICA  CENTRAL  Y  CARIBE
REINO  DE  DINAMARCA,EUROPA  OCCIDENTAL
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,ÁFRICA  SUBSAHARIANA
ESTADO  DE  KUWAIT,ASIA
REPÚBLICA  FEDERAL  DE  NIGERIA,ÁFRICA  SUBSAHARIANA
NUEVA  ZELANDIA,OCEANÍA
REPÚBLICA  DE  PANAMÁ,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  PORTUGUESA,EUROPA  OCCIDENTAL
ESTADO  DE  QATAR,ASIA
RUMANIA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  DE  EL  SALVADOR,AMÉRICA  CENTRAL  Y  CARIBE
REINO  DE  SUECIA,EUROPA  OCCIDENTAL
UCRANIA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,AMÉRICA  DEL  SUR
REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR
REPÚBLICA  POPULAR  DE  CHINA,ASIA
ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR
REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR
REPÚBLICA  DE  SUDÁFRICA,ÁFRICA  SUBSAHARIANA
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
Reino  de  Bélgica,EUROPA  OCCIDENTAL
REPÚBLICA  HELÉNICA,EUROPA  OCCIDENTAL
REPÚBLICA  COOPERATIVA  DE  GUYANA,AMÉRICA  CENTRAL  Y  CARIBE
IRLANDA,EUROPA  OCCIDENTAL
日本国  (JAPÓN),ASIA
REPÚBLICA  DE  NICARAGUA,AMÉRICA  CENTRAL  Y  CARIBE
Confederación  Suiza,EUROPA  OCCIDENTAL
REPÚBLICA  DE  SENEGAL,ÁFRICA  SUBSAHARIANA
REPÚBLICA  DE  SURINAME,AMÉRICA  DEL  SUR
REINO  DE  TAILANDIA,ASIA
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  TUNECINA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ESTADO  DE  PALESTINA,ASIA
